ticker,name,exchange,category name,country
BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A.",MCE,Money Center Banks,Spain
ANA.MC,"Acciona, S.A.",MCE,General Contractors,Spain
AMS.MC,"Amadeus IT Group, S.A.",MCE,Information Technology Services,Spain
ABE.MC,"Abertis Infraestructuras, S.A.",MCE,General Contractors,Spain
SAN.MC,"Banco Santander, S.A.",MCE,Money Center Banks,Spain
BKIA.MC,"Bankia, S.A.",MCE,,Spain
SAB.MC,"Banco de Sabadell, S.A.",MCE,Money Center Banks,Spain
POP.MC,"Banco Popular Español, S.A.",MCE,,Spain
ITX.MC,"Industria de Diseño Textil, S.A.",MCE,Apparel Stores,Spain
FCC.MC,"Fomento de Construcciones y Contratas, S.A.",MCE,Waste Management,Spain
BME.MC,"Bolsas y Mercados Españoles, Sociedad Holding de Mercados y Sistemas Financieros, S.A.",MCE,Asset Management,Spain
MDF.MC,"Duro Felguera, S.A.",MCE,General Contractors,Spain
DIA.MC,"Distribuidora Internacional de Alimentación, S.A.",MCE,,Spain
PSG.MC,"Prosegur Compañía de Seguridad, S.A.",MCE,Security & Protection Services,Spain
PRS.MC,"Promotora de Informaciones, S.A.",MCE,Entertainment - Diversified,Spain
PAC.MC,"Papeles y Cartones de Europa, S.A.",MCE,Paper & Paper Products,Spain
TEF.MC,"Telefónica, S.A.",MCE,Wireless Communications,Spain
REP.MC,"Repsol, S.A.",MCE,Major Integrated Oil & Gas,Spain
IBE.MC,"Iberdrola, S.A.",MCE,Diversified Utilities,Spain
SCYR.MC,"Sacyr, S.A.",MCE,,Spain
GAM.MC,"Siemens Gamesa Renewable Energy, S.A.",MCE,,Spain
TUB.MC,"Tubacex, S.A.",MCE,Steel & Iron,Spain
REE.MC,"Red Eléctrica Corporación, S.A.",MCE,Electric Utilities,Spain
PHM.MC,"Pharma Mar, S.A.",MCE,,Spain
LOG.MC,"Compañía de Distribución Integral Logista Holdings, S.A.",MCE,,Spain
CABK.MC,"CaixaBank, S.A.",MCE,,Spain
BKT.MC,"Bankinter, S.A.",MCE,Money Center Banks,Spain
ALM.MC,"Almirall, S.A.",MCE,Biotechnology,Spain
ZOT.MC,"Zardoya Otis, S.A.",MCE,Diversified Machinery,Spain
YENT.MC,"Entrecampos Cuatro, Socimi, S.A.",MCE,,Spain
VOC.MC,"Vocento, S.A.",MCE,Entertainment - Diversified,Spain
TVX.MC,TVX.MC,MCE,,Spain
VIS.MC,"Viscofan, S.A.",MCE,Food - Major Diversified,Spain
RJF.MC,"Laboratorio Reig Jofre, S.A.",MCE,,Spain
MTS.MC,ArcelorMittal,MCE,Steel & Iron,Spain
NEU.MC,"Neuron Bio, S.A.",MCE,Biotechnology,Spain
NEA.MC,"Nicolás Correa, S.A.",MCE,Diversified Machinery,Spain
ONL.MC,"Only-apartments, S.A.",MCE,,Spain
EDR.MC,"eDreams ODIGEO, S.A.",MCE,,Spain
CLEO.MC,COMPANIA LEVANTINA EDIFICACION,MCE,,Spain
POP-D.MC,DERECHOS BANCO POPULAR ESPANOL,MCE,,Spain
QBT-D.MC,"DERECHOS QUABIT INMOBILIARIA, S",MCE,,Spain
QBT.MC,"Quabit Inmobiliaria, S.A.",MCE,Property Management,Spain
TRG.MC,"Tubos Reunidos, S.A.",MCE,Steel & Iron,Spain
CPL.MC,"Cementos Portland Valderrivas, S.A.",MCE,,Spain
NYE.MC,NYESA VALORES CORPORACION S.A.,MCE,,Spain
CAF.MC,"Construcciones y Auxiliar de Ferrocarriles, S.A.",MCE,Diversified Machinery,Spain
ACS.MC,"ACS, Actividades de Construcción y Servicios, S.A.",MCE,General Contractors,Spain
YPMR.MC,Promociones Renta Y Mantenimiento Socimi S.A.,MCE,,Spain
YHAB.MC,HEREF Habaneras SOCIMI S.A.,MCE,,Spain
YMEI.MC,"Mercal Inmuebles Socimi, S.A.",MCE,,Spain
YPR2.MC,"Corpfin Capital Prime Retail II, SOCIMI, S.A.",MCE,,Spain
YDOA.MC,"Inversiones Doalca SOCIMI, S.A.",MCE,,Spain
YOSO.MC,"Obsido Socimi, S.A.",MCE,,Spain
YTRA.MC,"Trajano Iberia Socimi, S.A.",MCE,,Spain
SAY.MC,"Saeta Yield, S.A.",MCE,,Spain
SLR.MC,"Solaria Energía y Medio Ambiente, S.A.",MCE,Diversified Utilities,Spain
MCM.MC,"Miquel y Costas & Miquel, S.A.",MCE,Paper & Paper Products,Spain
YARE.MC,"Autonomy Spain Real Estate SOCIMI, S.A.",MCE,,Spain
YZBL.MC,"Zambal Spain Socimi, S.A.",MCE,,Spain
YPR3.MC,"Corpfin Capital Prime Retail III, SOCIMI, S.A.",MCE,,Spain
YZPS.MC,Zaragoza Properties Socimi SA,MCE,,Spain
YFID.MC,"Fidere Patrimonio Socimi, S.A.",MCE,,Spain
ENC.MC,"ENCE Energía y Celulosa, S.A.",MCE,Paper & Paper Products,Spain
YABA.MC,"Jaba I Inversiones Inmobiliarias, Socimi, S.A.",MCE,,Spain
INY.MC,"Inypsa Informes y Proyectos, S.A.",MCE,General Contractors,Spain
ZNK.MC,"Zinkia Entertainment, S.A.",MCE,Entertainment - Diversified,Spain
ABG.MC,"Abengoa, S.A.",MCE,General Contractors,Spain
ABG-P.MC,ABENGOA CLASE B,MCE,,Spain
ABB.MC,"AB-Biotics, S.A.",MCE,Biotechnology,Spain
ACX.MC,"Acerinox, S.A.",MCE,Steel & Iron,Spain
ACS-D.MC,"DERECHOS ACS, ACTIVIDADES DE CO",MCE,,Spain
HIS.MC,"Hispania Activos Inmobiliarios SOCIMI, S.A.",MCE,,Spain
ADZ.MC,"Adolfo Domínguez, S.A.",MCE,Textile - Apparel Clothing,Spain
AENA.MC,"Aena, S.A.",MCE,,Spain
BAY.MC,Bayer Aktiengesellschaft,MCE,Drug Manufacturers - Major,Spain
AGIL.MC,"Agile Content, S.A.",MCE,,Spain
